ID,Year,Region,ParkName,EcosystemType,IntegrityStatus,IntegrityTrend
1,2022,Northwest Territories,Aulavik National Park of Canada,Freshwater,GOOD,Stable
2,2022,Northwest Territories,Aulavik National Park of Canada,Tundra,POOR,Stable
3,2022,Nunavut,Auyuittuq National Park of Canada,Glaciers,FAIR,Declining
4,2022,Nunavut,Auyuittuq National Park of Canada,Tundra,GOOD,Stable
5,2022,Alberta,Banff National Park of Canada,Freshwater,POOR,Declining
6,2022,Alberta,Banff National Park of Canada,Forest,GOOD,Improving
7,2022,Alberta,Banff National Park of Canada,Tundra,GOOD,Improving
8,2022,Ontario,Bruce Peninsula National Park of Canada,Forest,GOOD,Improving
9,2022,Ontario,Bruce Peninsula National Park of Canada,Freshwater,GOOD,Stable
10,2022,Ontario,Bruce Peninsula National Park of Canada,Shrublands,FAIR,Stable
11,2022,Nova Scotia,Cape Breton Highlands National Park of Canada,Forest,POOR,Stable
12,2022,Nova Scotia,Cape Breton Highlands National Park of Canada,Freshwater,GOOD,Stable
13,2022,Nova Scotia,Cape Breton Highlands National Park of Canada,Wetlands,GOOD,Stable
14,2022,Alberta,Elk Island National Park of Canada,Grasslands,POOR,Declining
15,2022,Alberta,Elk Island National Park of Canada,Forest,FAIR,Declining
16,2022,Alberta,Elk Island National Park of Canada,Freshwater,GOOD,Stable
17,2022,Quebec,Forillon National Park of Canada,Coastal/Marine,GOOD,Improving
18,2022,Quebec,Forillon National Park of Canada,Forest,POOR,Stable
19,2022,Quebec,Forillon National Park of Canada,Freshwater,GOOD,Stable
20,2022,New Brunswick,Fundy National Park of Canada,Freshwater,GOOD,Stable
21,2022,New Brunswick,Fundy National Park of Canada,Forest,GOOD,Stable
22,2022,New Brunswick,Fundy National Park of Canada,Wetlands,GOOD,Stable
23,2022,Ontario,Georgian Bay Islands National Park of Canada,Wetlands,GOOD,Improving
24,2022,Ontario,Georgian Bay Islands National Park of Canada,Coastal/Marine,GOOD,Stable
25,2022,Ontario,Georgian Bay Islands National Park of Canada,Forest,GOOD,Stable
26,2022,British Columbia,Glacier National Park of Canada,Forest,FAIR,Stable
27,2022,British Columbia,Glacier National Park of Canada,Freshwater,GOOD,Stable
28,2022,British Columbia,Glacier National Park of Canada,Tundra,POOR,Declining
29,2022,Saskatchewan,Grasslands National Park of Canada,Grasslands,FAIR,Stable
30,2022,Newfoundland and Labrador,Gros Morne National Park of Canada,Freshwater,GOOD,Stable
31,2022,Newfoundland and Labrador,Gros Morne National Park of Canada,Forest,FAIR,Improving
32,2022,Newfoundland and Labrador,Gros Morne National Park of Canada,Tundra,FAIR,Declining
33,2022,British Columbia,Gulf Islands National Park Reserve of Canada,Coastal/Marine,POOR,Stable
34,2022,British Columbia,Gulf Islands National Park Reserve of Canada,Forest,FAIR,Improving
35,2022,British Columbia,Gulf Islands National Park Reserve of Canada,Freshwater,FAIR,Improving
36,2022,British Columbia,Gwaii Haanas National Park Reserve of Canada and Haida Heritage Site,Coastal/Marine,GOOD,Stable
37,2022,British Columbia,Gwaii Haanas National Park Reserve of Canada and Haida Heritage Site,Forest,GOOD,Improving
38,2022,British Columbia,Gwaii Haanas National Park Reserve of Canada and Haida Heritage Site,Freshwater,GOOD,Stable
39,2022,Yukon,Ivvavik National Park of Canada,Freshwater,GOOD,Stable
40,2022,Yukon,Ivvavik National Park of Canada,Tundra,POOR,Declining
41,2022,Alberta,Jasper National Park of Canada,Forest,FAIR,Stable
42,2022,Alberta,Jasper National Park of Canada,Freshwater,GOOD,Stable
43,2022,Alberta,Jasper National Park of Canada,Tundra,POOR,Declining
44,2022,Nova Scotia,Kejimkujik National Park and National Historic Site of Canada,Coastal/Marine,FAIR,Improving
45,2022,Nova Scotia,Kejimkujik National Park and National Historic Site of Canada,Forest,GOOD,Stable
46,2022,Nova Scotia,Kejimkujik National Park and National Historic Site of Canada,Freshwater,GOOD,Stable
47,2022,Nova Scotia,Kejimkujik National Park and National Historic Site of Canada,Wetlands,GOOD,Improving
48,2022,Yukon,Kluane National Park and Reserve of Canada,Forest,FAIR,Declining
49,2022,Yukon,Kluane National Park and Reserve of Canada,Freshwater,GOOD,Improving
50,2022,Yukon,Kluane National Park and Reserve of Canada,Tundra,GOOD,Stable
51,2022,British Columbia,Kootenay National Park of Canada,Forest,GOOD,Improving
52,2022,British Columbia,Kootenay National Park of Canada,Freshwater,POOR,Stable
53,2022,British Columbia,Kootenay National Park of Canada,Tundra,GOOD,Stable
54,2022,New Brunswick,Kouchibouguac National Park of Canada,Coastal/Marine,GOOD,Stable
55,2022,New Brunswick,Kouchibouguac National Park of Canada,Forest,GOOD,Stable
56,2022,New Brunswick,Kouchibouguac National Park of Canada,Freshwater,GOOD,Declining
57,2022,Quebec,La Mauricie National Park of Canada,Forest,FAIR,Declining
58,2022,Quebec,La Mauricie National Park of Canada,Freshwater,FAIR,Improving
59,2022,Quebec,La Mauricie National Park of Canada,Wetlands,POOR,Stable
60,2022,Quebec,Mingan Archipelago National Park Reserve of Canada,Coastal/Marine,GOOD,Improving
